Descriptors , Algorithm , RMSE , $r^2$ , % measurements within prediction interval 
MP2D , WA , *2.03 2.1 2.07 2.07 2.03* , *0.24 0.19 0.21 0.22 0.24* , NA
MP2D , PLS , *2.05 2.03 2.02 2.09 2.16* , *0.28 0.28 0.29 0.27 0.28* , 96 94 94 93 94
MP2D , RF , 1.73 1.77 1.67 1.67 1.73 , *0.46 0.45 0.49 0.5 0.47* , 96 93 94 94 96
P-CHEM , WA , *1.98 1.94 1.91 1.93 2.0* , *0.44 0.47 0.48 0.47 0.43* , NA
P-CHEM , PLS , *2.09 2.09 2.14 2.03 2.01* , *0.38 0.39 0.36 0.42 0.43* , **97 96 97 96 97**
P-CHEM , RF , 1.76 1.73 1.81 1.86 1.83 , 0.56 0.58 0.54 0.51 0.53 , 97 95 94 93 94
Proteomics , WA , 1.88 1.72 1.73 1.91 1.76 , 0.52 0.6 0.59 0.52 0.58 , NA
Proteomics , PLS , 1.74 1.85 1.78 1.61 1.68 , 0.59 0.56 0.56 0.64 0.62 , *87 87 86 85 88*
Proteomics , RF , **1.51 1.61 1.8 1.73 1.56** , **0.68 0.65 0.55 0.6 0.65** , *87 89 89 92 92*
P-CHEM Proteomics , WA , 1.72 1.77 1.85 1.44 1.67 , 0.6 0.58 0.55 0.7 0.62 , NA
P-CHEM Proteomics , PLS , 1.55 1.91 1.79 1.94 1.64 , 0.67 0.54 0.58 0.51 0.64 , *84 86 88 86 90*
P-CHEM Proteomics , RF , *1.85 1.74 2.1 1.68 1.51* , *0.55 0.59 0.45 0.61 0.69* , *90 88 90 91 92*
