Dataset, Endpoint, Nanoparticles
NanoWiki, Concentration in cell, 4
NanoWiki, Log Reciprocal EC50, 17
NanoWiki, LDH Release, 5
NanoWiki, DNA in Tail, 5
NanoWiki, Metabolic Activity, 5
NanoWiki, Toxicity Classifier, 9
NanoWiki, Percentage Viable Cells, 4
NanoWiki, Concentration in culture medium, 1
Protein Corona, Net cell association, 121
Protein Corona, log2(Net cell association), 121
MARINA, TNF-alpha, 6
MARINA, % cell viability, 6
MODENA, Cell Viability Assay EC25, 1
MODENA, Cell Viability Assay EC50, 1
MODENA, Cell Viability Assay SLOPE EC50, 41
MODENA, LDH Release Assay EC25, 10
MODENA, LDH Release Assay EC50, 10
MODENA, LDH Release Assay SLOPE EC50, 11
MODENA, ATP Assay EC25, 8
MODENA, ATP Assay EC50, 8
MODENA, ATP Assay SLOPE EC50, 8
MODENA, MTT Assay EC25, 10
MODENA, MTT Assay EC50, 10
MODENA, MTT Assay SLOPE EC50, 10
